一	横
列	横,撇,横撇|横钩,点,竖,竖钩
刘	点,横,撇,点,竖,竖钩
则	竖,横折,撇,点,竖,竖钩
刚	竖,横折钩,撇,点,竖,竖钩
创	撇,点,横折钩,竖弯钩,竖,竖钩
初	点,横撇|横钩,竖,撇,点,横折钩,撇
删	撇,横折钩,撇,横折钩,横,竖,竖钩
判	点,撇,横,横,撇,竖,竖钩
刨	撇,横折钩,横折,横,竖弯钩,竖,竖钩
利	撇,横,竖,撇,点,竖,竖钩
别	竖,横折,横,横折钩,撇,竖,竖钩
刬	
刭	横撇|横钩,点,横,竖,提,竖,竖钩
刮	撇,横,竖,竖,横折,横,竖,竖钩
到	横,撇折,点,横,竖,提,竖,竖钩
刳	横,撇,点,横,横,竖折折钩,竖,竖钩
制	撇,横,横,竖,横折钩,竖,竖,竖钩
刷	横折,横,撇,竖,横折钩,竖,竖,竖钩
券	点,撇,横,横,撇,捺,横折钩,撇
刹	撇,点,横,竖钩,撇,点,竖,竖钩
刺	横,竖,横折钩,竖,撇,点,竖,竖钩
刻	点,横,撇折,撇,撇,点,竖,竖钩
刽	撇,点,横,横,撇折,点,竖,竖钩
刿	竖,竖弯,竖,撇,横撇|横钩,点,竖,竖钩
剀	竖,竖弯,竖,横折,横,竖提,竖,竖钩
剁	撇,横折折|横折弯,横,竖,撇,点,竖,竖钩
剂	点,横,撇,点,撇,竖,竖,竖钩
剃	点,撇,横折,横,竖折折钩,竖,撇,竖,竖钩
剅	
削	竖,点,撇,竖,横折钩,横,横,竖,竖钩
剋	横,竖,竖,横折,横,撇,竖弯钩,竖,竖钩
剌	横,竖,横折,横,竖,撇,点,竖,竖钩
前	点,撇,横,竖,横折钩,横,横,竖,竖钩
剐	竖,横折,横,竖,横折钩,撇,点,竖,竖钩
剑	撇,点,横,点,点,撇,提,竖,竖钩
剔	竖,横折,横,横,撇,横折钩,撇,撇,竖,竖钩
剕	
剖	点,横,点,撇,横,竖,横折,横,竖,竖钩
剜	点,点2,横撇|横钩,撇,横撇|横钩,点,横折钩,竖提,竖,竖钩
剞	横,撇,点,横,竖,横折,横,竖钩,竖,竖钩
剟	
剡	点2,撇,撇,点,点2,撇,撇,点,竖,竖钩
剥	横折,横,横,竖钩,点,提,撇,点,竖,竖钩
剧	横折,横,撇,横,竖,竖,横折,横,竖,竖钩
剩	撇,横,竖,竖,横,提,撇,竖弯钩,撇,点,竖,竖钩
剪	点,撇,横,竖,横折钩,横,横,竖,竖钩,横折钩,撇
副	横,竖,横折,横,竖,横折,横,竖,横,竖,竖钩
割	点,点2,横撇|横钩,横,横,横,竖,竖,横折,横,竖,竖钩
剽	横,竖,横折,竖,竖,横,横,横,竖钩,撇,点,竖,竖钩
剿	撇点,撇点,撇点,竖,横折,横,横,横,竖,撇,点,竖,竖钩
劁	撇,竖,点,横,横,横,竖,横,点2,点,点,点,竖,竖钩
劂	横,撇,点,撇,横,竖弯,竖,撇,撇,横撇|横钩,撇,点,竖,竖钩
劄	撇,横,点,撇,横,点,撇,点,横,竖,横折,横,竖,竖钩
劈	横折,横,撇,竖,横折,横,点,横,点,撇,横,横,竖,横折钩,撇
劐	横,竖,竖,撇,竖,点,横,横,横,竖,横,横撇|横钩,点,竖,竖钩
劓	撇,竖,横折,横,横,横,竖,横折,横,竖,横,横,撇,竖,竖,竖钩
力	横折钩,撇
劝	横撇|横钩,点,横折钩,撇
办	横折钩,撇,点2,点
功	横,竖,提,横折钩,撇
加	横折钩,撇,竖,横折,横
务	撇,横撇|横钩,捺,横折钩,撇
劢	横,横折钩,撇,横折钩,撇
劣	竖,撇,点,撇,横折钩,撇
动	横,横,撇折,点,横折钩,撇
助	竖,横折,横,横,提,横折钩,撇
努	撇点,撇,横,横撇|横钩,捺,横折钩,撇
劫	横,竖,横,撇折,点,横折钩,撇
劬	撇,横折钩,竖,横折,横,横折钩,撇
劭	横折钩,撇,竖,横折,横,横折钩,撇
励	横,撇,横,横折钩,撇,横折钩,撇
劲	横撇|横钩,点,横,竖,提,横折钩,撇
劳	横,竖,竖,点2,横撇|横钩,横折钩,撇
劼	横,竖,横,竖,横折,横,横折钩,撇
劾	点,横,撇折,撇,撇,点,横折钩,撇
势	横,竖钩,提,撇,横斜钩,点,横折钩,撇
勃	横,竖,点2,横撇|横钩,横撇|横钩,竖钩,提,横折钩,撇
勇	横撇|横钩,点,竖,横折,横,横,竖,横折钩,撇
勉	撇,横撇|横钩,竖,横折,横,撇,竖弯钩,横折钩,撇
勋	竖,横折,横,竖,横折,撇,点,横折钩,撇
勍	
勐	横撇|横钩,竖钩,横,竖,横折,竖,竖,提,横折钩,撇
勒	横,竖,竖,横,竖,横折,横,横,竖,横折钩,撇
勔	
勖	竖,横折,横,横,竖,横折,横,横,横,横折钩,撇
勘	横,竖,竖,横,横,横,撇,点,竖弯,横折钩,撇
勚	
募	横,竖,竖,竖,横折,横,横,横,撇,捺,横折钩,撇
勠	横折,点,提,横折,点,提,撇,点,撇,撇,撇,横折钩,撇
勤	横,竖,竖,横,竖,横折,横,横,横,竖,提,横折钩,撇
勰	横折钩,撇,横折钩,撇,横折钩,撇,竖,横折,横,竖,横,点2,斜钩|卧钩,点,点
勺	撇,横折钩,点
勾	撇,横折钩,撇折,点
勿	撇,横折钩,撇,撇
匀	撇,横折钩,点,提
包	撇,横折钩,横折,横,竖弯钩
匆	撇,横折钩,撇,撇,点
匈	撇,横折钩,撇,点,竖弯,竖
匍	撇,横折钩,横,竖,横折钩,横,横,竖,点
匏	横,撇,点,横,横,竖折折钩,撇,横折钩,横折,横,竖弯钩
匐	撇,横折钩,横,竖,横折,横,竖,横折,横,竖,横
匕	撇,竖弯钩
化	撇,竖,撇,竖弯钩
北	竖,横,提,撇,竖弯钩
匙	竖,横折,横,横,横,竖,横,撇,捺,撇,竖弯钩
匜	
