一	横
𢀖	横撇,点,横,竖,横
𡰯	横折,横,撇,竖,横折钩,竖
龹	点,撇,横,横,撇,捺
杀	撇,点,横,竖钩,撇,点
朿	横,竖,横折钩,竖,撇,捺
亥	点,横,撇折,撇,撇,点
岁	竖,竖折,竖,撇,横撇,点
朵	撇,横折弯,横,竖,撇,捺
弟	点,撇,横折,横,竖折折钩,竖,撇
豆	横,竖,横折,横,点,撇,横
束	横,竖,横折,横,竖,撇,捺
呙	竖,横折,横,竖,横折钩,撇,点
易	竖,横折,横,横,撇,横折钩,撇,撇
宛	点,点,横钩,撇,横撇,点,横折钩,竖弯钩
叕	横撇,点,横撇,点,横撇,点,横撇,捺
录	横折,横,横,竖钩,点,提,撇,捺
乘	撇,横,竖,竖,横,提,撇,竖弯钩,撇,捺
前	点,撇,横,竖,横折钩,横,横,竖,竖钩
畐	横,竖,横折,横,竖,横折,横,竖,横
害	点,点,横钩,横,横,横,竖,竖,横折,横
票	横,竖,横折,竖,竖,横,横,横,竖钩,撇,点
巢	撇点,撇点,撇点,竖,横折,横,横,横,竖,撇,捺
厥	横,撇,点,撇,横,竖弯,竖,撇,撇,横钩,撇,捺
答	撇,横,点,撇,横,点,撇,捺,横,竖,横折,横
蒦	横,竖,竖,撇,竖,点,横,横,横,竖,横,横撇,捺
鼻	撇,竖,横折,横,横,横,竖,横折,横,竖,横,横,撇,竖
万	横,横折钩,撇
少	竖,撇,点,撇
奴	撇点,撇,横,横撇,捺
召	横折钩,撇,竖,横折,横
厉	横,撇,横,横折钩,撇
𫇦	横,竖,竖,点,横钩
孛	横,竖,点,横钩,横撇,竖钩,横
员	竖,横折,横,竖,横折,撇,点
孟	横撇,竖钩,横,竖,横折,竖,竖,横
革	横,竖,竖,横,竖,横折,横,横,竖
冒	竖,横折,横,横,竖,横折,横,横,横
贳	横,竖,竖,横,竖折,竖,横折,撇,点
莫	横,竖,竖,竖,横折,横,横,横,撇,捺
堇	横,竖,竖,横,竖,横折,横,横,横,竖,横
劦	横折钩,撇,横折钩,撇,横折钩,撇
勹	撇,横折钩
巳	横折,横,竖弯钩
凶	撇,点,竖折,竖
甫	横,竖,横折钩,横,横,竖,点
𠤎	撇,竖弯钩
是	竖,横折,横,横,横,竖,横,撇,捺
匚	横,竖折
巾	竖,横折钩,竖
斤	撇,撇,横,竖
甲	竖,横折,横,横,竖
轨	横,撇折,竖,提,撇,横斜钩
贵	竖,横折,横,竖,横,竖,横折,撇,点
合	撇,捺,横,竖,横折,横
川	撇,竖,竖
廾	横,撇,竖
化	撇,竖,撇,竖弯钩
办	横折钩,撇,点,点
𠅃	点,横,撇,点,撇,捺
早	竖,横折,横,横,横,竖
买	横钩,点,点,横,撇,点
𢆉	点,撇,横,横,竖
下	横,竖,点
上	竖,横,横
尸	横折,横,撇
囙	竖,横折,横折,横,横
龱	竖,横折,撇,点,横
臣	横,竖,横折,横,竖,竖弯
卩	横折钩,竖
𠂋	撇,撇,横
𠂎	撇,竖提,撇
厃	撇,横撇,横,撇
𠂑	撇,竖提,点,撇
卪	横折钩,点,竖
𦈢	撇,横,横,竖,横,竖折
丞	横撇,竖钩,横撇,撇,捺,横
圡	横,竖,点,横
尨	横,撇,竖弯钩,撇,撇,撇,点
㫗	竖,横折,横,横,横撇,弯钩,横
相	横,竖,撇,点,竖,横折,横,横,横
厌	横,撇,横,撇,捺,点
欮	点,撇,横,竖折,竖,撇,撇,横钩,撇,捺
夏	横,撇,竖,横折,横,横,横,撇,横撇,捺
𭔰	横,竖,横折,横,点,撇,题,横,竖钩,点
既	横折,横,横,竖提,点,横,撇折,撇,竖弯钩
大	横,撇,捺
爱	撇,点,点,撇,点,横钩,横,撇,横撇,捺
逮	横折,横,横,竖钩,点,提,撇,点,点,横折折撇,捺
𠂇	横,撇
𠂆	撇,撇
发	撇折,撇,横撇,捺,点
尗	竖,横,横,竖钩,撇,点
双	横撇,点,横撇,捺
爫	撇,点,点,撇
亦	点,横,撇,竖钩,撇,点
余	撇,捺,横,横,竖钩,撇,点
反	撇,撇,横撇,捺
臼	撇,竖,横,横折,横,横
叒	横撇,点,横撇,点,横撇,捺
冝	点,横钩,竖,横折,横,横,横
丩	竖提,竖
史	竖,横折,横,撇,捺
𠮛	横,竖,横折,横
刁	横折钩,提
幺	撇折,撇折,点
𠔼	竖,横折钩,横
夕	撇,横撇,点
丫	点,撇,竖
今	撇,捺,点,横撇
巴	横折,竖,横,竖弯钩
屯	横,竖折,竖,竖弯钩
允	撇折,点,撇,竖弯钩
户	点,横折,横,撇
引	横折,横,竖折折钩,竖
欠	撇,横钩,撇,捺
孔	横撇,竖钩,提,竖弯钩
厄	横,撇,横折钩,竖弯钩
无	横,横,撇,竖弯钩
艺	横,竖,竖,横折弯钩
太	横,撇,捺,点
历	横,撇,横折钩,撇
乌	撇,横折钩,竖折折钩,横
幼	撇折,撇折,点,横折钩,撇
𠮷	横,竖,横,竖,横折,横
瓜	撇,撇,竖提,点,捺
未	横,横,竖,撇,捺
叩	竖,横折,横,横折钩,竖
匝	横,竖,横折钩,竖,竖折
出	竖折,竖,竖,竖折,竖
央	竖,横折,横,撇,捺
处	撇,横撇,捺,竖,点
永	点,横折钩,横撇,撇,捺
付	撇,竖,横,竖钩,点
吅	竖,横折,横,竖,横折,横
卡	竖,横,横,竖,点
龙	横,撇,竖弯钩,撇,点
宁	点,点,横钩,横,竖钩
丝	撇折,撇折,撇折,撇折,横
光	竖,点,撇,横,撇,竖弯钩
夷	横,横折,横,竖折折钩,撇,捺
米	点,撇,横,竖,撇,捺
尺	横折,横,撇,捺
只	竖,横折,横,撇,点
各	撇,横撇,捺,竖,横折,横
自	撇,竖,横折,横,横,横
灰	横,撇,点,撇,撇,捺
戌	横,撇,横,斜钩,撇,点
亘	横,竖,横折,横,横,横
休	撇,竖,横,竖,撇,捺
因	竖,横折,横,撇,点,横
伊	撇,竖,横折,横,横,撇
西	横,竖,横折,撇,竖弯,横
𢦏	横,竖,横,[],斜钩,撇,点
𠂢	撇,撇,撇,竖提,撇,捺
向	撇,竖,横折钩,竖,横折,横
艾	横,竖,竖,撇,捺
艮	横折,横,横,竖提,撇,捺
匡	横,横,横,竖,横,竖折
亚	横,竖,竖,点,撇,横
达	横,撇,点,点,横折折撇,捺
毕	横,竖提,撇,竖弯钩,横,竖
华	撇,竖,撇,竖弯钩,横,竖
约	撇折,撇折,提,撇,横折钩,点
弄	横,横,竖,横,横,撇,竖
赤	横,竖,横,撇,竖钩,撇,点
那	横折钩,横,横,撇,横撇弯钩,竖
孝	横,竖,横,撇,横撇,竖钩,横
折	横,竖钩,提,撇,撇,横,竖
亨	点,横,竖,横折,横,横撇,竖钩
辰	横,撇,横,横,竖提,撇,捺
广	点,横,撇
肀	横折,横,横,竖
坐	撇,点,撇,点,横,竖,横
吾	横,竖,横折,横,竖,横折,横
麦	横,横,竖,横,撇,横撇,捺
贡	横,竖,横,竖,横折,撇,点
劳	横,竖,竖,点,横钩,横折钩,撇
𭕆	点,竖,撇,竖,横折,撇,点
皂	撇,竖,横折,横,横,横,竖弯钩
奂	撇,横撇,竖,横折,横,撇,捺
即	横折,横,横,竖提,点,横折钩,竖
虎	竖,横,横钩,撇,横,竖弯钩,撇,横斜钩
刷	横折,横,撇,竖,横折钩,竖,竖,竖钩
戾	点,横折,横,撇,横,撇,捺,点
育	点,横,撇折,点,竖,横折钩,横,横
妾	点,横,点,撇,横,撇点,撇,横
忽	撇,横折钩,撇,撇,点,卧钩,点,点
肯	竖,横,竖,横,竖,横折钩,横,横
冏	竖,横折钩,撇,点,竖,横折,横
林	横,竖,撇,点,横,竖,撇,捺
阿	横撇弯钩,竖,横,竖,横折,横,竖钩
卒	点,横,撇,点,撇,点,横,竖
匋	撇,横折钩,撇,横,横,竖,竖折,竖
舍	撇,捺,横,横,竖,竖,横折,横
拉	横,竖钩,提,点,横,点,撇,横
拍	横,竖钩,提,撇,竖,横折,横,横
者	横,竖,横,撇,竖,横折,横,横
回	竖,横折,竖,横折,横,横
转	横,撇折,竖,提,横,横,竖折折,点
齿	竖,横,竖,横,撇,点,竖折,竖
罗	竖,横折,竖,竖,横,撇,横撇,点
波	点,点,提,横钩,撇,竖,横撇,捺
定	点,点,横钩,横,竖,横,撇,捺
郎	点,横折,横,横,竖提,点,横撇弯钩,竖
肃	横折,横,横,竖,撇,竖,撇,点
帝	点,横,点,撇,点,横钩,竖,横折钩,竖
秋	撇,横,竖,撇,点,点,撇,撇,捺
客	点,点,横钩,撇,横撇,捺,竖,横折,横
南	横,竖,竖,横折钩,点,撇,横,横,竖
剌	横,竖,横折,横,竖,撇,点,竖,竖钩
侯	撇,竖,横折,横,撇,横,横,撇,捺
枼	横,竖,竖,横,竖折,横,竖,撇,捺
音	点,横,点,撇,横,竖,横折,横,横
耑	竖,竖折,竖,横,撇,竖,横折钩,竖,竖
彖	撇折,横撇,横,撇,弯钩,撇,撇,撇,捺
壴	横,竖,横,竖,横折,横,点,撇,横
胃	竖,横折,横,竖,横,竖,横折钩,横,横
宣	点,点,横钩,横,竖,横折,横,横,横
厘	横,撇,竖,横折,横,横,竖,横,横
查	横,竖,撇,捺,竖,横折,横,横,横
苗	横,竖,竖,竖,横折,横,竖,横
奎	横,撇,捺,横,竖,横,横,竖,横
告	撇,横,竖,横,竖,横折,横
臭	撇,竖,横折,横,横,横,横,撇,捺,点
益	点,撇,横,撇,点,竖,横折,竖,竖,横
朔	点,撇,横,竖折,竖,撇,撇,横折钩,横,横
盍	横,竖,横,撇折,点,竖,横折,竖,竖,横
荅	横,竖,竖,撇,捺,横,竖,横折,横
桑	横撇,点,横撇,点,横撇,点,横,竖,撇,捺
真	横,竖,竖,横折,横,横,横,横,撇,点
叟	撇,竖,横,横折,横,横,竖,横撇,捺
耆	横,竖,横,撇,撇,竖弯钩,竖,横折,横,横
鬲	横,竖,横折,横,竖,横折钩,点,撇,横,竖
